surface,cls,x,y,n,n_effective,rate_raw,rate_eb,value_raw,value_eb,z,p,sig_naive,sig_bh
survival,009,6.1778,5.68,456,398.0,0.58991,0.56253,12.814,10.0756,5.128,2.933e-7,true,true
survival,009,6.1778,6.0,3031,2322.9,0.49423,0.49279,3.2454,3.1021,3.138,0.001704,true,true
survival,009,6.1778,6.32,4070,3228.4,0.43538,0.43625,-2.6391,-2.5522,-3.008,0.002631,true,true
survival,009,6.1778,6.64,555,109.1,0.47207,0.4671,1.03,0.5332,0.216,0.8292,false,false
survival,009,6.3556,5.68,150,124.8,0.66667,0.57152,20.4894,10.9746,4.591,4.404e-6,true,true
survival,009,6.3556,6.0,975,835.2,0.54359,0.53422,8.1818,7.2447,4.743,2.107e-6,true,true
survival,009,6.3556,6.32,4445,1441.6,0.44634,0.44745,-1.5428,-1.4324,-1.175,0.24,false,false
survival,009,6.3556,6.64,1687,1395.4,0.4345,0.43649,-2.7273,-2.528,-2.044,0.041,true,false
survival,009,6.5333,6.0,351,201.4,0.56125,0.52653,9.9481,6.4759,2.832,0.004631,true,true
survival,009,6.5333,6.32,1984,1701.8,0.49194,0.49015,3.0163,2.8375,2.496,0.01256,true,true
survival,009,6.5333,6.64,3541,2863.9,0.43801,0.43889,-2.376,-2.288,-2.551,0.01076,true,true
survival,009,6.5333,6.96,521,437.0,0.47793,0.47478,1.6155,1.3009,0.677,0.4981,false,false
survival,009,6.7111,6.0,186,11.1,0.37634,0.45418,-8.5428,-0.7591,-0.57,0.5688,false,false
survival,009,6.7111,6.32,661,583.1,0.51437,0.50617,5.26,4.4399,2.548,0.01084,true,true
survival,009,6.7111,6.64,3128,2397.9,0.4626,0.46257,0.0824,0.0803,0.081,0.9355,false,false
survival,009,6.7111,6.96,1701,1280.9,0.44974,0.4507,-1.2037,-1.107,-0.864,0.3875,false,false
survival,009,6.7111,7.28,122,107.2,0.59016,0.52575,12.8392,6.3973,2.667,0.007662,true,true
survival,009,6.8889,6.0,113,14.6,0.50442,0.46712,4.2653,0.5345,0.326,0.7441,false,false
survival,009,6.8889,6.32,266,178.9,0.60526,0.5512,14.3491,8.9431,3.849,0.0001184,true,true
survival,009,6.8889,6.64,1329,1162.6,0.48232,0.48059,2.0545,1.882,1.405,0.16,false,false
survival,009,6.8889,6.96,2905,2238.5,0.43993,0.44096,-2.1841,-2.0815,-2.073,0.03819,true,false
survival,009,6.8889,7.28,504,458.1,0.46825,0.46708,0.6482,0.5305,0.278,0.7808,false,false
survival,009,7.0667,6.32,108,85.4,0.55556,0.50326,9.3783,4.1484,1.738,0.08217,false,false
survival,009,7.0667,6.64,498,402.7,0.55422,0.53466,9.2445,7.2892,3.721,0.0001982,true,true
